N,Name,Image,Art,Type 1,Type 2,Class,Ability 1,Ability 2,Ability H,HP,Atk,Def,Spa,Spd,Spe,BST,Pre-Evo,Evolution,Evo Data,Tag,Form Name,Gender Rate,Growth Rate,Exp,EHP,EAtk,EDef,ESpa,ESpd,ESpe,Catch,Happy,Hatch,Egg Group 1,Egg Group 2,Height,Weight,Color,Habitat,Moves,Pokedex,Locale
41,Jokai,https://i.imgur.com/DlaZZzs.png,http://fav.me/dazt4lt,Ghost,Fire,Festival,Illuminate,,Prankster,65,67,50,92,83,105,462,,,,1,,Female50Percent,Medium,155,0,0,0,2,0,1,195,70,5355,Amorphous,,0.4,0.4,Red,Forest,,"Jokai come out of the woods whenever a festival takes place. Their presence has been included even from ancient times, so many people consider them a traditional guest.",
42,Hanbone,https://i.imgur.com/z0jc7Pv.png,http://fav.me/dazpa2k,Ghost,Rock,Dance,Dancer,,,32,30,71,73,71,42,319,,Skullvis,Spooky Dance,2base,,Female50Percent,Fast,67,0,0,0,1,0,0,200,70,5355,Humanlike,,0.8,21.5,White,Urban,,Hanbone can be summoned when music is played over a cemetary. They communicate to one another by clapping their hands on different parts of their body.,
43,Skullvis,https://i.imgur.com/dAUVOZW.png,http://fav.me/dazpa2k,Ghost,Rock,Disco,Dancer,,,52,46,110,112,110,86,516,Hanbone,,,2final,,Female50Percent,Fast,180,0,0,0,2,0,0,150,70,5355,Humanlike,,1.3,67.2,White,Urban,,"Skullvis only come out during a full moon, using its light as its own personal disco ball. Their dance movements can capture the souls of those that gaze on it too long.",
44,Frounder,https://i.imgur.com/p2w20Uz.png,http://fav.me/dc4hpgg,Water,,Dweller,Illuminate,,Solar Power,90,31,59,31,52,43,306,,Sunfoon,28,3base,,Female50Percent,Medium,59,1,0,0,0,0,0,220,70,5355,Water 2,,0.2,0.3,Blue,Sea,,"Frounder are born deep down in the ocean, where light never touches. Their bodies emit a natural, soft glow, making them easy targets for predators. Most never get to evolve.",
45,Sunfoon,https://i.imgur.com/wkpo6MB.png,http://fav.me/dc4hpgg,Water,,Basking,Sunbathe,,Solar Power,110,55,70,45,60,50,390,Frounder,Solasola,Fire Stone,3mid,,Female50Percent,Medium,154,2,0,0,0,0,0,185,70,5355,Water 2,,1.2,60.5,Blue,Sea,,"Sunfoon live most of their lives near the ocean surface, where they use the sun's heat to keep themselves warm. Their basking sometimes causes boats to capsize when hit.",
46,Solasola,https://i.imgur.com/rB5c6pJ.png,http://fav.me/dc4hpgg,Water,Fire,Sun Disc,Sunbathe,,Solar Power,150,70,80,50,70,60,480,Sunfoon,,,3final,,Female50Percent,Medium,243,3,0,1,0,0,0,125,70,5355,Water 2,,3.1,144.6,Blue,Sea,,"Solasola have bodies that can convert sunlight into energy, allowing them to live exclusively off of it. Because of this, they end up sluggish and motionless during the night.",
47,Snowki,https://i.imgur.com/PigiRbE.png,https://cdn.discordapp.com/attachments/369546332568027148/647954376165687308/1574554738404.png,Ice,Grass,Snow Hare,Rivalry,,Huge Power,49,25,42,49,44,83,292,,Snowkoro,30,2base,,Female50Percent,Medium,70,0,0,0,1,0,1,215,70,5355,Field,,0.3,8.4,White,Forest,,"Snowki usually hide under the snow during the day, becoming more active at night. When morning comes, the path a Snowki makes is visible due to their distinctive hop-prints.",
48,Snowkoro,https://i.imgur.com/b5T2C2N.png,http://fav.me/dbdgfjk,Ice,Grass,Snow Hare,Rivalry,,Huge Power,70,45,70,84,72,101,442,Snowki,,,2final,,Female50Percent,Medium,168,0,0,0,2,0,2,155,70,5355,Field,,0.9,23.3,White,Forest,,"Snowkoro grow magnificent fur every year, with its peak occuring in the winter months. It's said that the colder a Snowkoro's habitat, the more beautiful it becomes.",
49,Friwi,https://i.imgur.com/GvQKLky.png,http://fav.me/db3ii2c,Ice,Flying,Small Bird,Serene Grace,,Snow Cloak,63,51,49,69,60,91,383,,Decorane,32,2base,,Female50Percent,Medium,62,0,0,0,1,0,1,210,70,5355,Flying,,0.2,0.8,White,Forest,,"Friwi have underdeveloped wings, so they spend most of their time on the snowy ground. Friwi are known to come in different patterns, depending on the region.",
50,Decorane,https://i.imgur.com/xzkeJ8y.png,http://fav.me/db3ii2c,Ice,Flying,Elegant,Serene Grace,,Snow Warning,75,76,61,92,75,121,500,Friwi,,,2final,,Female50Percent,Medium,161,0,0,0,2,0,2,140,70,5355,Flying,,1.1,16.9,White,Forest,,"Decorane shed off its leaves before heading south for the winter, leaving behind a perfect wreath. People like to hang the wreaths on their door every year for good luck.",
51,Hopshok,https://i.imgur.com/D1VZlcB.png,http://fav.me/dceewc4,Electric,,Jolt,Volt Absorb,,Cloud Nine,50,83,44,39,40,44,300,,Pounshok,,2base,,Female50Percent,,,,,,,,,,70,5355,Field,,0.7,27.2,Gray,Grassland,,"Hopshok expel electricity from their tails, which it uses to jump around quickly. Packs of migrating Hopshok leave behind glamorous trails during the night.",
52,Pounshok,https://i.imgur.com/DDtDNTp.png,http://fav.me/dceewc4,Electric,,Lightning,Volt Absorb,,Cloud Nine,82,111,78,70,72,78,491,Hopshok,,,2final,,Female50Percent,,,,,,,,,,70,5355,Field,,1.4,92.5,Black,Grassland,,"Pounshok have extremely strong tails that it balances on during battle. When the timing is right, they hop high into the air and drop lightningbolts onto foes below.",
53,Myoesee,https://i.imgur.com/k5Ekgxu.png,http://fav.me/dbwipyg,Psychic,,Medium,Forewarn,,,99,64,87,90,104,60,504,,,,1,,Female50Percent,Slow,176,1,0,0,1,1,0,185,70,5355,Field,,1.6,164.5,White,Grassland,,"Myoesee are very fickle, with a unique strangeness often given to Ultra Beasts. It is able to communicate with other living beings via telepathy. They are enemies of Ambiggle.",
54,Quilapila,https://i.imgur.com/DOKAzT3.png,http://fav.me/db1gp6h,Bug,,Ink,Mana Leech,,,30,20,60,60,60,40,270,,"Magnumoth, Maskito","26, Dusk Stone",2base,,Female50Percent,Slow,70,0,0,0,0,0,0,1,70,5355,Bug,,0.4,0.6,White,Urban,,"Quilapila run amok in abandoned libraries, draining away the ink from books. An infestation of Quilapila can easily take down large library in a month.",
55,Magnumoth,https://i.imgur.com/v6IbAoa.png,http://fav.me/db1gp6h,Bug,Psychic,Knowledge,Mana Leech,,,80,65,80,80,110,65,480,Quilapila,,,2final,,Female50Percent,Slow,170,0,0,0,0,0,0,1,70,5355,Bug,,1.2,23.5,White,Urban,,"When Magnumoth drink the ink from books, the words and images appear on its wings. In the past, they were known to be used as long distance messengers.",
56,Maskito,https://i.imgur.com/w4P5rVK.png,http://fav.me/db276i2,Bug,Dark,Stalking,Shadower,,,70,100,65,70,65,110,480,Quilapila,,,2final,,Female50Percent,,,,,,,,,,70,5355,Bug,,0.9,12.2,Black,Urban,,"During the dark nighttime, Maskito can be found patrolling the city's streets. The cloak making up their body is actually hundreds of smaller insects, which it commands in battle.",
57,Bolichi,https://i.imgur.com/T6FaklJ.png,http://fav.me/db3rctz,Steel,Fairy,Toy,Ricochet,,Iron Barbs,65,75,85,55,105,65,450,,,,1,,Female50Percent,Slow,1,0,0,0,0,0,0,1,70,5355,Mineral,,0.1,13.0,Gray,Urban,,"While unsuspiciously cute in demeanor, they are quite destructive given enough motivation. Their steel bodies are able to knock down the walls of buildings in one swing.",
58,Minelk,https://i.imgur.com/wqBTuHE.png,,Normal,Ice,Icicle Antler,Slush Rush,,Sap Sipper,,,,,,,0,,Elkler,,2base,,Female50Percent,,,,,,,,,,70,5355,Field,,1.0,14.4,Gray,Mountain,,"Minelk can climb almost any mountainous terrain, due to their specialized hooves. By freezing their hooves onto the surface they're climbing, they can scale extreme angles.",
59,Elkler,https://i.imgur.com/zPATTiW.png,http://fav.me/ddc60bb,Normal,Ice,Icicle Antler,Slush Rush,,Sap Sipper,112,87,101,76,79,67,522,Minelk,,,2final,,Female50Percent,,,,,,,,,,70,5355,Field,,2.0,164.6,Gray,Mountain,,"Due to how erratic an Elkler's horns grow, they can come in very strange shapes that vary between regions. Its structure makes it glow in the colors of an aurora.",
60,Plattle,https://i.imgur.com/xXJN0Cc.png,http://fav.me/dchzmbx,Water,,River,Berserk,,Lightning Rod,,,,,,,0,,Ornithor,Thunder Stone,2base,,Female50Percent,,,,,,,,,,70,5355,Field,,0.6,18.6,Blue,Mountain,,"Lazy and aloof, Plattle can be found doing absolutely nothing near the banks of rivers. Their fur is charged so much that they have permanent afro-like hairstyles.",
61,Ornithor,https://i.imgur.com/QQn9UCa.png,http://fav.me/dchzmbx,Water,Electric,Thunderstorm,Berserk,,Lightning Rod,83,100,87,109,67,62,508,Plattle,,,2final,,Female50Percent,,,,,,,,,,70,5355,Field,,1.3,133.3,Blue,Mountain,,"Ornithor are very easily angered, and will cause a ruckus if provoked. Given enough motivation, they can summon storm clouds from nowhere to strike the area.",
62,Fangon,https://i.imgur.com/tZyyaqH.png,http://fav.me/dch2i2i,Dragon,Fire,Legend,Burning Spirit,,Reckless,50,50,60,50,40,50,300,,Flanket,30,3base,,Female50Percent,Slow,64,0,1,0,0,0,0,25,70,5355,Dragon,,0.4,20.4,Red,Mountain,,"Fango are poppy in personality and tend to jump around others when happy. They are considered good luck charms to have around in Orenti, due to their rareness.",
63,Flanket,https://i.imgur.com/rjyP82K.png,http://fav.me/dch2i2i,Dragon,Fire,Legend,Burning Spirit,,Reckless,65,75,70,70,50,70,400,Fangon,Orienchant,45,3mid,,Female50Percent,Slow,144,0,2,0,0,0,0,25,70,5355,Dragon,,1.1,80.6,Red,Mountain,,"Flanket have sturdy, leathery shells that keep in a lot of warmth. During the cold season, it's popular to huddle near them and use their shells like a heating table.",
64,Orienchant,https://i.imgur.com/O9X1EBr.png,https://i.imgur.com/pEabmCv.png,Dragon,Fire,Legend,Burning Spirit,,Reckless,100,90,100,130,95,85,600,Flanket,,,3final,,Female50Percent,Slow,243,1,3,0,0,0,0,25,70,5355,Dragon,,2.0,120.0,Red,Mountain,,"Orienchant are a rare find, and are considered deities. In times of danger, humans used to perform special rituals to summon one, hoping it will fend off disasters.",
65,Tikare,https://i.imgur.com/pHicKbv.png,http://fav.me/dbbxh57,Bug,,Comfort,Triage,,Shield Dust,28,35,30,28,25,28,174,,Nicepak,7,3base,,Female50Percent,Medium,40,0,0,0,0,1,0,255,70,5355,Bug,,0.1,0.8,Brown,Forest,,"Tikare appear unsuspectingly on injuries while traveling through the forest. After feeding on a bit of blood, they heal the injury and hop right off, making them great medics.",
66,Nicepak,https://i.imgur.com/QWRoh9O.png,http://fav.me/dbbxh57,Bug,,Comfort,Triage,,Shield Dust,45,28,44,31,30,22,200,Tikare,Nursymph,14,3mid,,Female50Percent,Medium,75,0,0,0,0,2,0,200,70,5355,Bug,,0.2,1.2,White,Forest,,Nicepak are able to alter their body temperatures from super cold to super hot in order to stay comfortable. Nurses like to use them as icepacks and hotpacks for their patients.,
67,Nursymph,https://i.imgur.com/To42jou.png,https://cdn.discordapp.com/attachments/369546332568027148/649376303031648263/1574893513806.png,Bug,Fairy,Comfort,Triage,,Shield Dust,82,45,66,700,75,75,1043,Nicepak,,,3final,,Female50Percent,Medium,185,0,0,1,0,3,0,170,70,5355,Bug,,0.5,2.4,White,Forest,,"The gauze created by a Nursymph are able to heal wounds very quickly. They are known to help treat any human or Pokemon they meet, regardless if they are friend or foe.",
68,Nooby,https://i.imgur.com/XgNNqnP.png,http://fav.me/dc2i61g,Fighting,,Rookie,Thick Fat,,Dry Skin,64,68,36,30,36,33,267,,Proteen,25,3base,,Female50Percent,Parabolic,61,0,1,0,0,0,0,245,70,5355,Humanlike,,0.5,26.3,Brown,Mountain,,"Nooby have a rubbery body that can contort to strange shapes. They utilize this trait in battle, where it can bend itself away from oncoming attacks.",
69,Proteen,https://i.imgur.com/0jitlQP.png,http://fav.me/dc2i61g,Fighting,,Trainee,Thick Fat,,Dry Skin,87,90,65,40,65,60,407,Nooby,Dramatama,42,3mid,,Female50Percent,Parabolic,142,0,2,0,0,0,0,200,70,5355,Humanlike,,1.0,40.6,Brown,Mountain,,"Proteen exclusively eat only nutritious foods, even starving itself if it can't find any. The muscles they gain from this diet makes up almost their whole body.",
70,Dramatama,https://i.imgur.com/pu6PG3d.png,http://fav.me/dc2i61g,Fighting,,Master,Thick Fat,,Dry Skin,110,110,75,60,75,70,500,Proteen,,,3final,,Female50Percent,Parabolic,227,0,3,0,0,0,0,145,70,5355,Humanlike,,2.0,106.4,Brown,Mountain,,"Dramatama's hefty look is due to its body being almost pure muscle. They practice many types of fighting stances, both for battle and entertainment.",
71,Veyel,https://cdn.discordapp.com/attachments/369546332568027148/686119922455281704/1583654115697.png,,Dark,,Blinking,Keen Eye,,,,,,,,,,,Smieel,,2base,,Female50Percent,,,,,,,,,,70,5355,Water 1,,,,,Urban,,"Viewing a Veyel from the side makes it appear as a floating eye. Its skin has camouflaging abilities whenever it contracts its body, making it appear as if its fake eye has closed.",
72,Smieel,https://i.imgur.com/bFslmwQ.png,http://fav.me/dbbozug,Dark,Psychic,Smile,Intimidate,,,,,,,,,0,Veyel,,,2final,,Female50Percent,,,,,,,,,,70,5355,Water 1,,,,Black,Urban,,"Smieel appear during the night, flying through the skies in swarms. When it finds prey, they light up their bodies and circle their target, hoping they faint from terror.",
73,Neesoks,https://i.imgur.com/Fn0fzrG.png,http://fav.me/dcna5xn,Dark,,Clacking,Klutz,,Limber,,,,,,,0,,Skinky,,2base,,Female50Percent,,,,,,,,,,70,5355,Field,,0.7,4.7,Brown,Urban,,"Neesoks like to eat all kinds of wool products, their favorite thing being socks. It is believed that they are responsible for unmatching pairs of socks.",
74,Skinky,https://i.imgur.com/ik48RUa.png,http://fav.me/dcna5xn,Dark,Fairy,Limb,Dazzling,,Limber,,,,,,,0,Neesoks,,,2final,,Female50Percent,,,,,,,,,,70,5355,Field,,1.1,11.9,Black,Urban,,"Skinky are cunning creatures, often seducing their prey with exotic dances before attacking them with their sharp jaw. They are often found alongside Smieel during the night.",
75,Admirror,https://i.imgur.com/cycLwOC.png,http://fav.me/dc2ep0s,Ice,Ghost,Mirror,Reflection,,Magic Bounce,,,,,,,0,,Majestice,34,2base,,Female50Percent,,,,,,,,,,70,5355,Amorphous,Mineral,0.4,9.6,Blue,Urban,,Looking into an Admirror's face will cause the viewer to lose their own reflection. Admirror then happily goes about impersonating their victim.,
76,Majestice,https://i.imgur.com/gJonPmV.png,http://fav.me/dc2ep0s,Ice,Ghost,Mirror,Reflection,,Magic Bounce,,,,,,,0,Admirror,,,2final,,Female50Percent,,,,,,,,,,70,5355,Amorphous,Mineral,2.0,35.8,Blue,Urban,,"Majestice hold strange powers, able to display a gazer's most deepest desires. Once it catches the attention of a prey, it sucks them into their mirror-like body.",
77,Camery,https://i.imgur.com/CiPYi2O.png,http://fav.me/db2w23w,Ground,Flying,Escort,Mailman,,Overcoat,,,,,,,0,,Camellac,40,2base,,Female50Percent,,,,,,,,,,70,5355,Field,,1.2,46.3,Brown,RoughTerrain,,"The legs of a Camery may look awkward and long, but they are useful at traversing the desert at high speeds. They are mostly used to carry goods between desert towns.",
78,Camellac,https://i.imgur.com/0EN6i1r.png,http://fav.me/db2w23w,Ground,Flying,Escort,Mailman,,Overcoat,,,,,,,0,Camery,,,2final,,Female50Percent,,,,,,,,,,70,5355,Field,,2.1,109.3,Brown,RoughTerrain,,"As the official desert mount, Camellac move at astonishing speeds through the hot sands. Their hardy personality to the desert extremes make them viable to caravans.",
79,Moustash,https://i.imgur.com/O6RTTWS.png,http://fav.me/dc33lt7,Normal,,Hair,Materialist,,Fur Coat,59,45,50,35,40,31,260,,Hampstor,18,2base,,Female50Percent,Medium,51,1,0,0,0,0,0,255,70,5355,Field,,0.2,4.8,Brown,Forest,,"A Moustash's moustache is actually very matted, which it can fluff out to use as a makeshift container. They like to pick up this they like and store them in there.",
80,Hampstor,https://i.imgur.com/UpRNCQ3.png,http://fav.me/dc33lt7,Normal,,Hair,Materialist,,Fur Coat,80,85,70,55,60,70,420,Moustash,,,2final,,Female50Percent,Medium,145,2,0,0,0,0,0,127,70,5355,Field,,0.7,9.8,Brown,Forest,,"Hampstor can be found all over Orenti, where they collect goods from various locales. While not necessarily a nuisance, they are known to accidentally pick up valuables.",
81,Archovy,https://i.imgur.com/j1nVlVr.png,http://fav.me/dbbtc2c,Water,Grass,Sharp Shot,Skill Link,,Sniper,,,,,,,0,,Marksmelt,30,2base,,Female50Percent,,,,,,,,,,70,5355,Water 2,,,,Green,WatersEdge,,Archovy can shoot water and other projectiles in their mouth like a bow and arrow. This is usually used to shoot prey out of trees above the water they live in.,
82,Marksmelt,https://i.imgur.com/vdgFLZ6.png,http://fav.me/dbbtc2c,Water,Grass,Sharp Shot,Skill Link,,Sniper,,,,,,,0,Archovy,,,2final,,Female50Percent,,,,,,,,,,70,5355,Water 2,,,,Green,WatersEdge,,"Marsmelt have a keen accuracy, able to calculate all sorts of factors into a ranged attack. They are known to hit moving targets with precision over 200 meters away.",
83,Bulsye,https://i.imgur.com/9TvsoOR.png,http://fav.me/dbdc5ie,Fighting,Normal,Persistent,Sturdy,,Stamina,,,,,,,0,,Murezhu,35,2base,,Female50Percent,,,,,,,,,,70,5355,Mineral,,,,Brown,RoughTerrain,,"Bulsye are able to resist heavy attacks, never seeming to flinch. Since their bodies were built to take hits, they sometimes allow smaller Pokemon to spar with them.",
84,Murezhu,https://i.imgur.com/CRc1l0L.png,http://fav.me/dbdc5ie,Fighting,Normal,Persistent,Sturdy,,Stamina,,,,,,,0,Bulsye,,,2final,,Female50Percent,,,,,,,,,,70,5355,Mineral,,,,Brown,RoughTerrain,,"A Murezhu's torso and abdomen are able to rotate 360 degrees, spinning at high speeds to return attacks to foes. They are found in abundance at training dojos.",
85,Signapse,https://i.imgur.com/t4abhP4.png,http://fav.me/dbbosi4,Electric,Psychic,Brain Wave,Telepathy,,Volt Absorb,,,,,,,0,,,,1,,Female50Percent,,,,,,,,,,70,5355,Field,Fairy,0.1,0.7,White,Grassland,,"The tail of a Signapse is actually a long extension of their cerebral cord. The electric attacks they perform originate from their brain, which produces neural surges.",
86,Poyolky,https://i.imgur.com/y9WuJWO.png,http://fav.me/dbnujo2,Normal,Flying,Chick,Run Away,,,40,45,35,28,45,50,243,,Cawdacit,14,3base,,Female50Percent,Parabolic,50,0,0,1,0,0,0,255,70,5355,Flying,,0.2,3.2,Brown,Grassland,,"As timid creatures, Poyolky are easily startled by the smallest of noises. They will run around in a panicked state until they tire themselves out.",
87,Hawkadoo,https://i.imgur.com/wuVC4bs.png,http://fav.me/dbnujo2,Normal,Flying,Chicken,Quick Feet,,,50,65,50,48,60,80,353,Poyolky,Valoroost,35,3mid,,Female50Percent,Parabolic,122,0,0,2,0,0,0,200,70,5355,Flying,,0.8,15.5,Brown,Grassland,,"Hawkadoo evolve from Poyolky that overcome their fears, and become courageous. Although bad at flying, they can dash about the ground at incredible speeds.",
88,Valoroost,https://i.imgur.com/73NhTe3.png,http://fav.me/dbnujo2,Fighting,Flying,Chicken,Braveheart,,,80,87,100,60,80,80,487,Hawkadoo,,,3final,,Female50Percent,Parabolic,211,1,0,3,0,0,0,120,70,5355,Flying,,1.2,28.0,Brown,Grassland,,"A Valoroost's legs are able to move at blinding speeds, which it uses to evade attacks and deal deadly kicks. They often move so fast, some feathers are lost in the process.",
89,Orkid,https://i.imgur.com/QIOMhj2.png,http://fav.me/dazojqe,Grass,Ghost,Deceitful,Shadow Tag,,,,,,,,,0,,Orchette,25,2base,,Female50Percent,,,,,,,,,,70,5355,Grass,Fairy,,,White,Forest,,"Orkid like to dance in the moonlight, with graceful and flowy steps. In reality, these dances lure small prey towards them, enamored by the soft glow they produce in the night.",
90,Orchette,https://i.imgur.com/lmuynkn.png,http://fav.me/dazojqe,Grass,Ghost,Deceitful,Shadow Tag,,,,,,,,,0,Orkid,,,2final,,Female50Percent,,,,,,,,,,70,5355,Grass,Fairy,,,White,Forest,,"Orchette like to hang from trees in the dark, and beckon unsuspecting prey near it with its movements. Once near, they quickly swoop in and pierce their prey with their spike.",
91,Fyrena,https://i.imgur.com/7BgnYMu.png,http://fav.me/dbt6cnp,Fire,Ground,Kindling,Intimidate,,,45,72,50,68,42,68,345,,Magmutt,32,2base,,Female50Percent,,,,,,,,,,70,5355,Field,,,,Brown,RoughTerrain,,"A Fyrena's fur is always coated with an oily substance, which it tends to every day. This oil easily flammable, allowing it to turn into a fireball when it ignites itself.",
92,Magmutt,https://i.imgur.com/LQvojgD.png,http://fav.me/dbt6cnp,Fire,Ground,Wildfire,Intimidate,,,70,115,85,100,60,102,532,Fyrena,,,2final,,Female50Percent,,,,,,,,,,70,5355,Field,,,,Brown,RoughTerrain,,"Magmutt leave behind embers in the paths it travels, often starting wildfires. Entering a wasteland where the grass doesn't grow is a good indicator of being in their territory.",
93,Smooshy,https://i.imgur.com/3l5ipxj.png,http://fav.me/dbqebac,Dark,,Jelly,Cute Charm,,,,,,,,,0,,Sliquish,23,3base,,Female50Percent,,,,,,,,,,70,5355,Water 1,Water 2,,,Purple,Sea,,"Smooshy have a body that are able to squish and contort like balloons. Because of this, they tend to make great pets for younger children.",
94,Sliquish,https://i.imgur.com/8uPA1Hv.png,http://fav.me/dbqebac,Dark,,Chic,Cute Charm,,,,,,,,,0,Smooshy,"Sluggoth, Sluggoon","41, Dawn Stone",3mid,,Female50Percent,,,,,,,,,,70,5355,Water 1,Water 2,,,Purple,Sea,,"Sliquish move elegantly wherever they go, no matter the occasion. Their posh nature makes them a bit difficult to raise, so require dedicated trainers.",
95,Sluggoth,https://i.imgur.com/clI7N4m.png,http://fav.me/dbqebac,Dark,Dragon,Chic,Cute Charm,,,,,,,,,0,Sliquish,,,3final,,Female50Percent,,,,,,,,,,70,5355,Water 1,Water 2,,,Purple,Sea,,"Sluggoth are known as the ""Royalty of the Sea"", with each Sluggoth owning a large portion of the ocean. They do not perform much activities, so they rely on lackies for food.",
96,Sluggoon,https://i.imgur.com/PaM2M8H.png,http://fav.me/dcznsef,Dark,Dragon,Guardian,Bodyguard,,,,,,,,,0,Sliquish,,,3final,,Female50Percent,,,,,,,,,,70,5355,Water 1,Water 2,,,Purple,Sea,,"Sluggoon are loyal to their Sluggoth partners, making sure they're always happy. Their bodies are similar to rubber, allowing them to take hits from dangerous attacks.",
97,Quiklaw,https://i.imgur.com/bdSYyvr.png,,Ground,Dark,Fugitive,Quick Draw,Quick Fire,Skill Link,,,,,,,0,,Outklaw,38,2base,,Female50Percent,,,,,,,,,,70,5355,Water 3,,,,Brown,RoughTerrain,,"Quiklaw store all sorts of ammunition within its claws, such as rocks and seeds. By quickly opening and closing their claws, they can propel these projectiles at blinding speeds.",
98,Outklaw,https://i.imgur.com/wCt7Iqg.png,,Ground,Dark,Fugitive,Quick Draw,Quick Fire,Skill Link,,,,,,,0,Quiklaw,,,2final,,Female50Percent,,,,,,,,,,70,5355,Water 3,,,,Brown,RoughTerrain,,"The claws of an Outklaw are developed in such a way that can expel a barrage of projectiles at its foes. They are also very territorial, with duels occuring between rivals.",
99,Snawball,https://i.imgur.com/0NrfPcc.png,http://fav.me/dc23d9c,Ice,,Snow Shell,Shell Armor,,,,,,,,,0,,Snawman,25,3base,,Female50Percent,,,,,,,,,,70,5355,Amorphous,,,,White,Grassland,,Every Snawball carve their own snowball in which they live in. They sometimes get so picky with their preferences that the snowball loses much of its durability once it's done.,
100,Snawman,https://i.imgur.com/nVM6NTZ.png,http://fav.me/dc23d9c,Ice,,Snow Shell,Shell Armor,,,,,,,,,0,Snawball,Snawfort,37,3mid,,Female50Percent,,,,,,,,,,70,5355,Amorphous,,,,White,Grassland,,"Snawman wear ice almost as if it was like armor, which it retreats into to block attacks. When an opportunity arises, they fling some of it at the foe, almost like a snowball.",
101,Snawfort,https://i.imgur.com/RpWbcKj.png,,Ice,,Snow Shell,Shell Armor,,,,,,,,,0,Snawman,,,3final,,Female50Percent,,,,,,,,,,70,5355,Amorphous,,,,White,Grassland,,"Snawfort will almost never move from the spot it situates its castle-like body. Rather than retreating, they will defend their home by pelting a barrage of boulder-sized snowballs.",
102,Slowth,https://i.imgur.com/A5w6j68.png,http://fav.me/dbe0xae,Normal,,Lazy,Patient,,,,,,,,,0,,Slothargic,35,2base,,Female50Percent,,,,,,,,,,70,5355,Field,,,,Blue,Forest,,"Slowth try to spend as minimal energy as possible, to the point they might not move for days. This pent-up energy allows it to create devastating attacks from where it sits.",
103,Slothargic,https://i.imgur.com/r6wmB7W.png,http://fav.me/dbe0xae,Normal,,Lazy,Patient,,,,,,,,,0,Slowth,,,2final,,Female50Percent,,,,,,,,,,70,5355,Field,,,,Blue,Forest,,"Slothargic are a rare find, since Slowth don't typically harness enough energy to evolve. Their arms are full of muscle, but it mostly uses it to hold its weight when climbing.",
104,Atomix,https://i.imgur.com/do7bzub.png,http://fav.me/dd7lsgi,Normal,,Cellular,Viral,,Imposter,50,50,50,50,50,50,300,,,,1,,Genderless,,,,,,,,,,70,5355,Ditto,,0.2,1.2,White,Rare,,"Atomix have the same molecular structure as Ditto, allowing them to transform into other things. However, they do this by absorbing others' DNA, making them virus-like.",
105,Lizord,https://i.imgur.com/5LgCv6C.png,http://fav.me/ddbsgya,Dragon,Steel,Blade,Mold Breaker,,,51,68,45,68,45,31,308,,Dynasord,,3base,,Female50Percent,,,,,,,,,,70,5355,Dragon,Monster,,,Purple,Mountain,,"Although it lacks arms, Lizord have so much coordination with its sword-like horn that it can balance all sorts of things on it to carry around.",
